months,average_temperature (oC),max_temperature (oC),min_temperature (oC),rainy (mm),total_rainy (days),LPM (%)
January,23.2,28.4,20.3,188,22,54
February,23.1,28.9,20.2,189.1,20,55
March,23.4,28.9,20.2,318.6,28,60
April ,23.6,29.1,20.5,285.2,25,49
May,23.4,29.6,19.4,322.4,23,66
June ,23.1,29.8,18.6,58.8,26,81
July ,23.1,29.8,18.3,0.3,5,85
August ,23.6,30.9,18.1,6.9,4,87
September ,23.8,31.5,18.3,43.2,4,86
October ,24.5,31.9,19.2,37.9,5,80
November ,23.9,30.1,20.2,455,24,53
December ,23.7,29.3,20.6,311.5,23,48
